Date/Time,Outdoor Temp,Averaged Temp
10/1/2021 0:00,21.61458333,
10/2/2021 0:00,20.43287037,
10/3/2021 0:00,19.27662037,
10/4/2021 0:00,17.02739198,
10/5/2021 0:00,16.76851852,
10/6/2021 0:00,16.84413581,
10/7/2021 0:00,18.39544753,
10/8/2021 0:00,18.11574074,
10/9/2021 0:00,19.76427469,
10/10/2021 0:00,22.02430556,16.72993827
10/11/2021 0:00,20.06828704,
10/12/2021 0:00,15.00848766,
10/13/2021 0:00,16.45794753,
10/14/2021 0:00,17.70717593,
10/15/2021 0:00,13.74151234,
10/16/2021 0:00,9.594521605,
10/17/2021 0:00,12.70138889,
10/18/2021 0:00,16.15470679,
10/19/2021 0:00,16.41203704,
10/20/2021 0:00,16.55246914,
10/21/2021 0:00,10.1570216,
10/22/2021 0:00,8.168209877,
10/23/2021 0:00,7.633101852,
10/24/2021 0:00,8.492669753,10.65776565
10/25/2021 0:00,8.594907407,
10/26/2021 0:00,9.006558642,
10/27/2021 0:00,8.753472223,
10/28/2021 0:00,9.883873458,
10/29/2021 0:00,10.8746142,
10/30/2021 0:00,10.40470679,
10/31/2021 0:00,8.12037037,
11/1/2021 0:00,4.248842593,
11/2/2021 0:00,3.09683642,
11/3/2021 0:00,2.649305556,
11/4/2021 0:00,4.064814815,
11/5/2021 0:00,5.946373457,
11/6/2021 0:00,8.349537037,
11/7/2021 0:00,12.14506173,6.2364418
11/8/2021 0:00,12.43248457,
11/9/2021 0:00,11.26466049,
11/10/2021 0:00,10.30401235,
11/11/2021 0:00,9.253472224,
11/12/2021 0:00,2.111496914,
11/13/2021 0:00,1.244598766,
11/14/2021 0:00,0.198688272,
11/15/2021 0:00,-0.633873457,
11/16/2021 0:00,4.534722222,
11/17/2021 0:00,10.8275463,
11/18/2021 0:00,-0.429783951,
11/19/2021 0:00,-0.24845679,
11/20/2021 0:00,4.126929012,
11/21/2021 0:00,6.001157407,1.724729938
11/22/2021 0:00,-2.609182099,
11/23/2021 0:00,0.338348766,
11/24/2021 0:00,5.55632716,
11/25/2021 0:00,2.444058642,
11/26/2021 0:00,-5.364583333,
11/27/2021 0:00,0.065972222,
11/28/2021 0:00,-0.462962963,
11/29/2021 0:00,1.019290123,
11/30/2021 0:00,4.552083333,
12/1/2021 0:00,5.631944445,
12/2/2021 0:00,9.195987654,
12/3/2021 0:00,5.950231482,
12/4/2021 0:00,2.237654321,
12/5/2021 0:00,2.064814815,2.315393519
12/6/2021 0:00,-3.05941358,
12/7/2021 0:00,-8.481095679,
12/8/2021 0:00,-3.156635803,
12/9/2021 0:00,2.550540124,
12/10/2021 0:00,6.620756173,
12/11/2021 0:00,4.265046296,
12/12/2021 0:00,3.024305556,
12/13/2021 0:00,4.486111111,
12/14/2021 0:00,7.295910494,
12/15/2021 0:00,12.76041667,
12/16/2021 0:00,5.780864198,
12/17/2021 0:00,-0.251929012,
12/18/2021 0:00,0.586805556,
12/19/2021 0:00,-1.157021605,2.965939154
12/20/2021 0:00,0.017361111,
12/21/2021 0:00,0.451774692,
12/22/2021 0:00,-5.244984568,
12/23/2021 0:00,1.934027778,
12/24/2021 0:00,8.130401235,
12/25/2021 0:00,4.893518518,
12/26/2021 0:00,1.839891975,
12/27/2021 0:00,2.677083333,
12/28/2021 0:00,0.259259259,
12/29/2021 0:00,-0.051697531,
12/30/2021 0:00,0.075231481,
12/31/2021 0:00,2.087962963,
1/1/2022 0:00,-0.642746914,
1/2/2022 0:00,-5.737654321,-4.484044312
1/3/2022 0:00,-8.808256173,
1/4/2022 0:00,-3.15625,
1/5/2022 0:00,-9.293981482,
1/6/2022 0:00,-13.48109568,
1/7/2022 0:00,-14.05979938,
1/8/2022 0:00,-6.542052469,
1/9/2022 0:00,-6.102623457,
1/10/2022 0:00,-12.22569444,
1/11/2022 0:00,-8.036265431,
1/12/2022 0:00,2.579475309,
1/13/2022 0:00,1.704089506,
1/14/2022 0:00,-1.762345679,
1/15/2022 0:00,-6.439429012,
1/16/2022 0:00,-6.386188272,-5.549162257
1/17/2022 0:00,-5.116126543,
1/18/2022 0:00,-0.954089506,
1/19/2022 0:00,-5.928626543,
1/20/2022 0:00,-12.09066358,
1/21/2022 0:00,-7.981095679,
1/22/2022 0:00,-6.262345679,
1/23/2022 0:00,-8.78896605,
1/24/2022 0:00,-8.92361111,
1/25/2022 0:00,-14.125,
1/26/2022 0:00,-15.93479938,
1/27/2022 0:00,-5.310570988,
1/28/2022 0:00,-6.999228395,
1/29/2022 0:00,-9.577546296,
1/30/2022 0:00,-4.896990741,-7.207368827
1/31/2022 0:00,-2.028549383,
2/1/2022 0:00,2.548225309,
2/2/2022 0:00,-5.887731481,
2/3/2022 0:00,-5.822530864,
2/4/2022 0:00,-7.506558642,
2/5/2022 0:00,-11.22337963,
2/6/2022 0:00,-5.214891975,
2/7/2022 0:00,-6.111111111,
2/8/2022 0:00,-3.119212963,
2/9/2022 0:00,1.301697531,
2/10/2022 0:00,-2.803240741,-4.250220459
2/11/2022 0:00,0.97646605,
2/12/2022 0:00,-9.143518519,
2/13/2022 0:00,-10.85262346,
2/14/2022 0:00,-8.32021605,
2/15/2022 0:00,-2.203317901,
2/16/2022 0:00,7.940972222,
2/17/2022 0:00,-3.706018519,-3.410934744
2/18/2022 0:00,-8.219521604,
2/19/2022 0:00,-10.1412037,
2/20/2022 0:00,0.772762346,
2/21/2022 0:00,6.076003087,
2/22/2022 0:00,0.87808642,
2/23/2022 0:00,-7.93904321,
2/24/2022 0:00,-5.119984568,-2.465277778
2/25/2022 0:00,-5.041666667,
2/26/2022 0:00,-5.711805555,
2/27/2022 0:00,-0.398533951,
2/28/2022 0:00,4.065972222,
3/1/2022 0:00,4.750771605,
3/2/2022 0:00,3.865740741,
3/3/2022 0:00,-2.681327161,3.678791887
3/4/2022 0:00,0.313271605,
3/5/2022 0:00,11.86304012,
3/6/2022 0:00,3.574074074,
